cmd_vx,cmd_vy,cmd_wz,code,detail,elapsed_s,f1,f2,f3,family,kind,low_code,result,size,t,type,value
0.0,0,0,,hold neutral,0.0,,,,,command,,"{""ok"": true, ""via"": ""udp""}",,2026-09-16T18:12:44.540,,
,,,0x11050F02,,0.0,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:44.541,1,12
,,,0x11050F03,,0.054,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:44.541,1,12
,,,0x11050F01,,0.054,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:44.541,0,77
,,,0x11050F02,,0.054,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:44.541,1,12
,,,0x11050F02,,0.054,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:44.541,1,12
,,,0x11050F03,,0.054,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:44.541,1,12
,,,0x11050F01,,0.054,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:44.541,0,77
,,,0x11050F02,,0.054,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:44.541,1,12
,,,0x11050F02,,0.054,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:44.541,1,12
,,,0x11050F03,,0.055,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:44.541,1,12
,,,0x11050F01,,0.055,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:44.542,0,77
,,,0x11050F02,,0.055,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:44.542,1,12
,,,0x11050906,,0.055,,,,lowlevel,frame,0x0906,,12,2026-09-16T18:12:44.542,0,1
,,,0x11050F03,,0.055,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:44.542,1,12
,,,0x11050F01,,0.055,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:44.542,0,77
,,,0x11050F02,,0.055,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:44.542,1,12
,,,0x11050F02,,0.055,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:44.542,1,12
,,,0x11050F03,,0.055,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:44.542,1,12
,,,0x11050F01,,0.055,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:44.542,0,77
,,,0x11050F02,,0.055,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:44.542,1,12
,,,0x11050F03,,0.055,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:44.935,1,12
,,,0x11050F01,,0.449,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:44.936,0,77
,,,0x11050F02,,0.449,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:44.936,1,12
,,,0x11050F02,,0.949,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:45.457,1,12
,,,0x11050F03,,0.97,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:45.741,1,12
,,,0x11050F01,,1.254,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:45.741,0,77
,,,0x11050F02,,1.254,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:45.935,1,12
,,,0x11050F02,,1.448,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:46.435,1,12
,,,0x11050F03,,1.949,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:46.535,1,12
,,,0x11050F01,,2.049,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:46.535,0,77
,,,0x11050F02,,2.049,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:46.988,1,12
,,,0x11050F03,,2.501,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:47.335,1,12
,,,0x11050F01,,2.849,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:47.335,0,77
,,,0x11050F02,,2.849,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:47.436,1,12
,,,0x11050F02,,2.949,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:47.935,1,12
,,,0x11050906,,3.449,,,,lowlevel,frame,0x0906,,12,2026-09-16T18:12:47.940,0,1
,,,0x11050F03,,3.453,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:48.139,1,12
,,,0x11050F01,,3.652,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:48.139,0,77
,,,0x11050F02,,3.652,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:48.475,1,12
,,,0x11050F03,,3.989,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:48.939,1,12
,,,0x11050F01,,4.452,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:48.939,0,77
,,,0x11050F02,,4.452,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:48.939,1,12
,,,0x11050F02,,4.953,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:49.471,1,12
,,,0x11050F03,,4.984,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:49.739,1,12
,,,0x11050F01,,5.252,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:49.739,0,77
,,,0x11050F02,,5.252,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:49.939,1,12
,,,0x11050F02,,5.452,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:50.439,1,12
