cmd_vx,cmd_vy,cmd_wz,code,detail,elapsed_s,f1,f2,f3,family,kind,low_code,result,size,t,type,value
0.0,0,0,,hold neutral,0.0,,,,,command,,"{""ok"": true, ""via"": ""udp""}",,2026-09-16T18:00:40.604,,
,,,0x11050F03,,0.0,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:40.604,1,12
,,,0x11050F01,,0.053,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:40.604,0,84
,,,0x11050F02,,0.053,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:40.604,1,12
,,,0x11050F02,,0.053,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:41.021,1,12
,,,0x11050F03,,0.47,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:41.321,1,12
,,,0x11050F01,,0.77,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:41.321,0,84
,,,0x11050F02,,0.77,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:41.521,1,12
,,,0x11050F02,,1.471,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:42.061,1,12
,,,0x11050F03,,1.51,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:42.121,1,12
,,,0x11050F01,,1.57,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:42.121,0,84
,,,0x11050F02,,1.57,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:42.521,1,12
,,,0x11050906,,1.97,,,,lowlevel,frame,0x0906,,12,2026-09-16T18:00:42.525,0,1
,,,0x11050F03,,1.974,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:42.923,1,12
,,,0x11050F01,,2.372,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:42.923,0,84
,,,0x11050F02,,2.372,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:43.023,1,12
,,,0x11050F02,,2.472,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:43.523,1,12
,,,0x11050F03,,2.972,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:43.723,1,12
,,,0x11050F01,,3.172,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:43.723,0,84
,,,0x11050F02,,3.172,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:44.023,1,12
,,,0x11050F02,,3.973,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:44.589,1,12
,,,0x11050F03,,4.038,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:44.589,1,12
,,,0x11050F01,,4.038,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:44.589,0,84
,,,0x11050F02,,4.038,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:45.023,1,12
,,,0x11050F03,,4.472,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:45.323,1,12
,,,0x11050F01,,4.772,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:45.323,0,84
,,,0x11050F02,,4.772,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:45.523,1,12
,,,0x11050F02,,4.972,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:46.023,1,12
,,,0x11050F03,,5.472,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:46.123,1,12
,,,0x11050F01,,5.572,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:46.123,0,84
,,,0x11050F02,,5.572,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:46.523,1,12
,,,0x11050F03,,5.972,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:46.923,1,12
,,,0x11050F01,,6.372,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:46.923,0,84
,,,0x11050F02,,6.372,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:47.023,1,12
,,,0x11050F02,,6.472,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:47.523,1,12
,,,0x11050906,,6.972,,,,lowlevel,frame,0x0906,,12,2026-09-16T18:00:47.527,0,1
,,,0x11050F03,,6.976,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:47.726,1,12
,,,0x11050F01,,7.175,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:47.726,0,84
,,,0x11050F02,,7.175,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:48.026,1,12
,,,0x11050F03,,7.976,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:48.613,1,12
0.1,0,0,,slow forward,8.062,,,,,command,,"{""ok"": true, ""via"": ""udp""}",,2026-09-16T18:00:48.667,,
,,,0x11050F01,,8.062,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:48.668,0,84
,,,0x11050F02,,8.117,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:48.668,1,12
,,,0x11050F02,,8.117,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:49.026,1,12
,,,0x11050F03,,8.475,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:49.326,1,12
,,,0x11050F01,,8.775,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:49.326,0,84
,,,0x11050F02,,8.776,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:49.526,1,12
,,,0x11050F02,,8.975,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:50.026,1,12
,,,0x11050F03,,9.475,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:50.127,1,12
,,,0x11050F01,,9.576,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:50.127,0,84
,,,0x11050F02,,9.576,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:50.527,1,12
,,,0x11050F03,,9.976,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:50.926,1,12
,,,0x11050F01,,10.375,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:50.926,0,84
,,,0x11050F02,,10.375,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:51.026,1,12
,,,0x11050F02,,10.475,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:51.527,1,12
0.0,0,0,,hold,10.976,,,,,command,,"{""ok"": true, ""via"": ""udp""}",,2026-09-16T18:00:51.578,,
,,,0x11050F03,,10.976,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:51.726,1,12
,,,0x11050F01,,11.176,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:51.726,0,84
,,,0x11050F02,,11.176,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:52.026,1,12
,,,0x11050F03,,11.977,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:52.606,1,12
,,,0x11050F01,,12.056,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:52.606,0,84
,,,0x11050F02,,12.056,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:52.606,1,12
,,,0x11050906,,12.056,,,,lowlevel,frame,0x0906,,12,2026-09-16T18:00:52.606,0,1
,,,0x11050F02,,12.056,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:53.028,1,12
,,,0x11050F03,,12.477,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:53.328,1,12
-0.1,0,0,,return (reverse),12.777,,,,,command,,"{""ok"": true, ""via"": ""udp""}",,2026-09-16T18:00:53.382,,
,,,0x11050F01,,12.777,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:53.382,0,84
,,,0x11050F02,,12.831,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:53.528,1,12
,,,0x11050F02,,12.977,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:54.028,1,12
,,,0x11050F03,,13.478,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:54.128,1,12
,,,0x11050F01,,13.578,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:54.128,0,84
,,,0x11050F02,,13.578,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:54.528,1,12
,,,0x11050F03,,13.977,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:54.928,1,12
,,,0x11050F01,,14.378,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:54.928,0,84
,,,0x11050F02,,14.378,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:55.028,1,12
,,,0x11050F02,,14.477,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:55.528,1,12
,,,0x11050F03,,14.978,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:55.728,1,12
0.0,0,0,,hold,15.178,,,,,command,,"{""ok"": true, ""via"": ""udp""}",,2026-09-16T18:00:55.781,,
,,,0x11050F01,,15.178,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:55.781,0,84
,,,0x11050F02,,15.231,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:56.028,1,12
,,,0x11050F03,,15.979,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:56.602,1,12
,,,0x11050F01,,16.052,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:56.602,0,84
,,,0x11050F02,,16.052,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:56.602,1,12
,,,0x11050F02,,16.052,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:57.029,1,12
,,,0x11050F03,,16.478,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:57.328,1,12
,,,0x11050F01,,16.778,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:57.328,0,84
,,,0x11050F02,,16.778,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:57.528,1,12
,,,0x11050906,,16.977,,,,lowlevel,frame,0x0906,,12,2026-09-16T18:00:57.532,0,1
,,,0x11050F02,,16.982,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:58.031,1,12
,,,0x11050F03,,17.48,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:58.131,1,12
,,,0x11050F01,,17.581,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:58.131,0,84
,,,0x11050F02,,17.581,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:58.531,1,12
,,,0x11050F03,,17.981,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:58.931,1,12
,,,0x11050F01,,18.381,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:58.932,0,84
,,,0x11050F02,,18.381,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:59.031,1,12
,,,0x11050F02,,18.481,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:00:59.531,1,12
,,,0x11050F03,,18.981,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:00:59.731,1,12
,,,0x11050F01,,19.181,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:00:59.731,0,84
,,,0x11050F02,,19.181,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:01:00.031,1,12
,,,0x11050F03,,19.481,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:01:00.531,1,12
,,,0x11050F01,,19.981,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:01:00.531,0,84
,,,0x11050F02,,19.981,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:01:00.531,1,12
